sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
1135,66,58,113.9769401143,152.8723770210,164.1496025927,24.9088407293,6880.3925979428,9283.0748857277,9879.7553989329,1478.3475091676,112.0357833490,6856.8078986959,0
944,162,52,216.4860251884,488.8871413093,109.6549404075,50.9159938485,13434.0147262673,30438.3832376858,6626.3780678874,3237.2828732288,218.2312806073,13751.6424476470,0
504,80,21,219.3628065261,678.1339582617,20.8333333333,32.2420634921,13103.7414940705,40568.6059061608,1302.0833333333,1808.4490740741,335.9574606395,20979.1571282813,1
686,39,33,101.1982565114,241.0130718954,74.0833333333,8.7380156076,5852.8280131797,14058.9842581913,4397.0601851852,273.0051987984,118.2270145795,7150.6682505782,0
1623,225,58,260.3160053523,520.0148203326,218.7726575110,42.1605382132,16382.0346085499,33154.2813515913,13505.7316440277,2486.0908300306,228.1081957350,15226.7914688965,1
920,80,38,121.9058197031,239.0046296296,99.3641067538,37.5075410343,7212.5121281803,14342.7079550956,5903.9453531049,1991.9257536885,100.3292539742,6213.5435800394,1
617,69,26,156.3149393091,319.1176470588,113.9049369748,55.4616013072,9765.5303731514,19022.1709598872,8229.6130768484,3265.4983793626,129.2596586433,7978.3492349890,1
709,127,25,313.3574730103,859.9264705882,52.7872777018,27.3586707410,20281.3247751729,56280.9075836217,3136.2745860459,1426.7921558512,391.9746768813,26151.8228126981,1
493,76,24,188.2527319228,372.9214413038,143.5574229692,102.0658263305,11728.0305413366,24236.0700458274,8498.0479119753,5800.8395351605,145.1891239555,9697.7856739910,1
445,120,28,263.0044610437,473.4541964934,230.0381263617,85.5210602760,16090.1693647684,29147.0747400873,14049.4997472482,5073.9336069698,196.7584846517,11938.4487210715,1
979,189,47,98.0668908362,196.5097921377,79.3028322440,24.9258408492,6090.4832901287,12301.9973768109,4726.9034701753,1648.5812427419,100.3319583067,6582.0336023678,0
1608,74,61,174.6696070368,410.4697712418,89.2033876955,24.3356621730,10758.8666310308,24875.5763675296,5209.7085916211,2191.3149339416,207.0722387403,12759.4120783282,0
1067,234,44,327.3121161173,804.8646292648,128.9469954649,71.5041604877,20555.8936108581,51118.1583343571,7855.7734684482,4162.0271448302,447.2591933207,29329.1598509855,1
943,44,42,62.1524314048,123.2822303984,35.7141698698,37.0228064701,4232.2271831529,9114.3848758421,2141.6122038551,2091.7963440926,81.6622737093,7847.9587076068,1
591,191,31,362.2115877487,921.9908840729,127.9411764706,36.7027027027,21751.6926294102,55405.5302032128,7801.6868512111,2047.8608338068,403.2411199331,24156.1553220292,1
978,60,46,278.4591545279,689.7293888316,119.4728242174,26.1752505348,16730.5606920559,41423.8309635548,7250.5269528707,1517.3241597421,381.9088016999,22977.1038158163,0
639,99,25,242.9978777026,510.6827270382,155.1266339869,63.1842720826,14422.0169782033,30329.0142572371,9183.9593612500,3753.0773161230,199.8314872995,12114.5339648269,1
731,96,38,148.6928412427,403.3905228758,31.2264328808,23.8526380749,8843.4041573749,24218.8801582725,1972.0200177617,1076.2626425385,190.9694056268,11776.0554453210,1
1570,203,38,316.0329894671,860.8957820645,69.5626934985,43.9765752938,20048.7194971131,51682.4259946847,7162.6620130744,2971.7971083398,457.6486199071,28614.9847322241,1
690,129,30,283.4219730011,722.6890756303,112.4909222948,78.0685817451,19701.2434529684,51739.8135724878,6713.1350240411,5028.8358630359,299.0067566317,25812.7244517568,1
1571,131,54,140.0202271743,189.4041259435,181.6993464052,65.4301770771,8338.5107735868,11139.2764198191,11030.1059421590,3827.1512262632,118.0959564188,7197.3566239647,1
1110,118,40,183.6856401274,372.4296128708,162.0537958773,16.5735116341,11709.9781918088,24413.2716665517,9779.2279514454,937.4349574292,168.4731690071,11619.0263430510,1
771,57,25,177.9251395215,400.9935224090,107.2917000770,25.4901960784,12190.4695972980,28561.5529402120,6541.1899539504,1468.6658977316,180.0426347974,13830.2262339990,1
