sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
1115,171,38,155.5721635251,364.8897058824,94.3624672091,20.4286644442,10098.0656810669,24508.6775519031,5602.5604468552,1024.4645178646,208.9092082132,14812.7087209876,0
1519,70,57,70.2744906727,90.0278102335,67.3661839058,61.2377546201,4674.5902299784,5735.6455816634,5014.2073348639,3793.3166878500,59.1749919029,4668.8163036198,1
1211,105,18,94.6079495331,79.2906001593,78.7619943082,163.6144339451,1581.3990632008,1122.0037151700,1358.3465448141,2896.4065548987,49.1276829848,1101.4248674504,0
933,85,45,163.9634262796,339.0289449113,153.2504668534,23.0342136855,9928.6558150444,20697.3660924065,9147.9243522028,1359.0564026731,161.6456959618,10099.5742123997,0
569,159,23,509.4177064765,1070.2614379085,425.1633986928,105.6022408964,32599.8887374320,70777.9707743664,25430.4930033015,6248.3293971183,403.1602996334,27712.3707896706,0
502,90,27,206.8363730207,492.5263666072,133.7316176471,45.9602280629,12687.9496770859,30724.8079918625,7952.7330233564,2558.2954353103,181.9979654186,11310.0536045809,1
1249,178,19,147.4963726106,122.6272283091,157.0949086705,162.7669808521,2359.8022431507,1897.4691166988,2794.1342544090,2387.8033583443,83.9262137550,1616.7500552055,0
1314,228,20,188.4459262661,173.9176371985,188.4667535108,234.3610424668,3120.1763649384,3011.1966931513,3397.9481215763,3471.4136742439,88.3513464748,1707.5403264349,0
1345,209,19,169.3865963072,160.6962243850,144.8682959553,202.5952685812,2591.0744639593,2485.3809064149,1965.4364532100,3322.4060322529,90.4772778712,1763.8377248256,0
790,133,24,405.0615898533,1137.8151260504,166.6316526611,26.4698736638,31620.7737241483,92182.4023727138,10279.7544671463,1434.6711109128,487.8853450600,52202.0989138226,1
5683,162,81,29.1603043590,31.2415161112,27.4485718026,31.0339254984,445.2299618098,479.0133165530,404.3041566631,486.6208708141,6.2501919799,188.2618128673,0
1020,51,15,48.8965938062,59.1789946869,30.8474420317,81.1116416030,716.0964226920,977.5536084020,382.2540385700,1146.5298324501,16.4780079418,335.8979422269,0
2269,183,31,83.8047355106,60.1631902609,72.6735712935,118.5774449774,1228.2001104232,918.1031872853,938.2501010299,1828.2470429543,44.1699982672,787.5719241581,0
517,84,29,274.8269570986,596.2953407484,150.9440813362,107.7777777778,16505.1125644843,35661.2268814765,9339.5554179067,6348.4567901235,259.0523381569,15779.0296748921,0
1916,110,62,119.0502539289,177.5034399725,151.1466754693,34.4531590414,6689.4034800732,10890.4243589753,7553.9435633107,1958.3126919371,156.4474778945,8634.9325969071,0
1059,138,16,130.1337943815,141.3619755753,116.0139820143,133.0254255548,1957.2499444626,2279.5520924755,1642.1506978464,1950.0470430660,60.8867827527,1034.8472142416,0
600,132,13,558.8650894359,1183.4595959596,419.1176470588,74.0180252892,32968.0481911004,70295.2664268952,24245.4825067282,4363.3956396778,344.5577900411,21290.5760239196,0
2214,215,32,102.1652186961,125.2950309985,96.7576100439,94.6595369154,1594.3533961330,1983.8034572248,1571.4101172144,1387.2819535729,26.1964554498,798.9844904444,0
